GLDS-293	IF1SG-B1 | IF1SW-B1 | IF1SW-F2 | IF2SG-B1 | IF3SG-B1 | IF3SW-F2 | IF4SW-B1 | IF4SW-B2 | IF4SW-F2 | IF5SW-F1 | IF6SG-B1 | IF6SW-B2 | IF6SW-F1 | IF7SG-B1 | IF7SW-B3 | IF8SG-B1 | IF8SW-B2 | IF8SW-P2 | IFCSG-B1 | IIF1SW-F1 | IIF2SW-B1 | IIF2SW-F1 | IIF4SW-F1 | IIF5SW-F2 | IIF6SW-B1 | IIF6SW-B2 | IIF6SW-F1 | IIF8SW-B2 | IIF8SW-B3 | IIF8SW-F1 | IIFCSW-F1
GLDS-294	C57BL/6NCrl
GLDS-295	C57BL/6NCrl
GLDS-296	Col-0
GLDS-297	None found
GLDS-298	FKI-L5-BR-P1 | IIF7SW-B3A | IIF7SW-B5
GLDS-3	None found
GLDS-30	None found
GLDS-300	I1-R3 | IF7SW-B2 | IIF1SW-B5 | IIF4SW-B5
GLDS-301	TZ 5007
GLDS-302	IF1SW-B2 | IF1SW-P3 | IF1SW-P4 | IF2SW-B3 | IF2SW-B4 | IF2SW-P1 | IF5SW-B1 | IF5SW-B2 | IF5SW-P1 | IF5SW-P2 | IFACSW-B2 | IFACSW-B3 | IFACSW-B4 | IFACSW-B5 | IFACSW-P1 | IFACSW-P2 | IIF5SW-B1 | IIF5SW-B2 | IIF5SW-B5
GLDS-303	IF3SW-B3 | IIF1SG-B5 | IIF2*SW-P2 | IIF2*SW-P4 | IIF2SG-B1 | IIF2SW-B2 | IIF3SG-B3 | IIF4SW-B1 | IIF4SW-B2 | IIF4SW-B3 | IIF4SW-P2 | IIF4SW-P3 | IIF4SW-P4 | IIF4SW-P5 | IIF5SW-B3 | IIF5SW-B4 | IIF7SC-B1 | IIF7SC-B4 | IIF7SG-B4 | IIF7SW-B1 | IIF7SW-B4 | IIF7SW-P1 | IIF7SW-P2 | IIF7SW-P3 | IIF7SW-P4 | IIF7SW-P5 | IIF8SW-B4 | IIF8SW-P3 | IIF8SW-P4 | IIF8SW-P5
GLDS-311	F3-6B(4) | F3-6B(5) | FJII-L5-SW-P2 | IF2SW-F2 | IF2SW-F3 | IIF5SW-P1 | IIF5SW-P2 | IIF5SW-P3 | IIF5SW-P4 | IIF5SW-P5 | IIFCSG-B1 | IIIF_BACT_A
GLDS-313	Col-0
